IDPOLUICAO;LAT;LONG
802;-23,5304819;-46,7263078
803;-23,9337074;-46,9861023
804;-23,5719651;-46,77737
805;-23,5287606;-46,8496898
806;-23,5937391;-46,7841349
807;-23,4968634;-46,7729722
808;-23,6034477;-46,7881563
809;-23,545862;-46,88895
810;-23,5553952;-46,67723
811;-23,5368082;-46,6717398
812;-23,5265324;-46,7241557
813;-23,4957864;-46,8018958
814;-23,6207406;-46,6521443
815;-23,5716576;-46,753128
816;-23,5746533;-46,7624015
817;-23,580406;-46,647713
818;-23,5758681;-46,7360994
819;-23,5707029;-46,7617609
820;-23,6063073;-46,777823
821;-23,571695;-46,77737
822;-23,653826;-46,7702938
823;-23,5530053;-46,9214703
824;-23,4968634;-46,7729722
825;-23,5743579;-46,7426341
826;-23,6961485;-47,0391186
827;-23,60682;-46,7739274
828;-23,5353834;-46,474374
829;-23,549202;-46,93729
830;-23,5680879;-46,7444283
831;-23,5471333;-46,7912373
832;-23,5814581;-46,7428528
833;-23,531693;-46,789925
834;-23,5635296;-46,6819594
835;-23,5315162;-46,8247435
836;-23,6267;-46,672178
837;-23,5351433;-46,7948186
838;-23,5430555;-46,6885684
839;-23,548943;-46,638817
840;-23,6221534;-46,5990371
841;-23,4701279;-46,6922332
842;-23,53086;-46,5242082
843;-23,5964984;-46,7864981
844;-23,5564026;-46,7443436
845;-23,572281;-46,751518
846;-23,531693;-46,789925
847;-23,5998266;-46,6830084
848;-23,5631272;-46,6991693
849;-23,6126507;-46,6795943
850;-23,604582;-46,933979
851;-23,5656588;-46,8063483
852;-23,6614681;-46,6543577
853;-23,5591141;-46,8486362
854;-23,5763225;-46,6442581
855;-23,531693;-46,789925
856;-23,5786003;-46,7428334
857;-23,573295;-46,754195
858;-23,5164885;-46,6971741
859;-23,6008372;-46,7676922
860;-23,5439323;-46,8307575
861;-23,6729093;-46,5400707
862;-23,5127318;-46,8359077
863;-23,6135331;-46,6792518
864;-23,494909;-46,787762
865;-23,577487;-46,627929
866;-23,563068;-46,7708252
867;-23,5921609;-46,770933
868;-23,5256754;-46,8401916
869;-23,5743074;-46,7820494
870;-23,549202;-46,93729
871;-23,5419742;-46,4400664
872;-23,4565814;-46,6786429
873;-23,5750671;-46,7907544
874;-23,571695;-46,77737
875;-23,6552985;-46,6123243
876;-23,5828168;-46,8153949
877;-23,4825439;-46,7498284
878;-23,5405984;-46,7588702
879;-23,5885295;-46,7588233
880;-23,6841929;-46,6346161
881;-23,5675826;-46,7538686
882;-23,593554;-46,7578796
883;-23,5557005;-46,7550453
884;-23,5709342;-46,748112
885;-23,4814569;-46,7339379
886;-23,5704755;-46,7507347
887;-23,6241272;-46,7991699
888;-23,6411964;-46,7716598
889;-23,5621233;-46,6892073
890;-23,6031606;-46,7418409
891;-22,3517749;-48,7791419
892;-23,5734128;-46,7401143
